,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,SOURCE,Year,Month
38,200001,3,1500,200001,4,700,1090462,5128949,MICHIGAN,2000,Winter Storm,Z,46,ISABELLA,GRR,03-JAN-00 15:00:00,EST,04-JAN-00 07:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
39,200001,3,1500,200001,4,700,1090462,5128948,MICHIGAN,2000,Winter Storm,Z,45,MECOSTA,GRR,03-JAN-00 15:00:00,EST,04-JAN-00 07:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
44,200001,3,1500,200001,4,700,1090462,5128947,MICHIGAN,2000,Winter Storm,Z,44,NEWAYGO,GRR,03-JAN-00 15:00:00,EST,04-JAN-00 07:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
81,200001,19,1600,200001,21,800,1090466,5129040,MICHIGAN,2000,Winter Storm,Z,71,VAN BUREN,GRR,19-JAN-00 16:00:00,EST,21-JAN-00 08:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
82,200001,12,1200,200001,13,800,1090464,5128963,MICHIGAN,2000,Winter Storm,Z,45,MECOSTA,GRR,12-JAN-00 12:00:00,EST,13-JAN-00 08:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
117,200001,3,1500,200001,4,700,1090462,5128950,MICHIGAN,2000,Winter Storm,Z,50,MUSKEGON,GRR,03-JAN-00 15:00:00,EST,04-JAN-00 07:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
136,200001,12,1200,200001,13,800,1090464,5128968,MICHIGAN,2000,Winter Storm,Z,56,OTTAWA,GRR,12-JAN-00 12:00:00,EST,13-JAN-00 08:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
140,200001,17,1600,200001,17,2200,1090465,5128969,MICHIGAN,2000,Winter Storm,Z,51,MONTCALM,GRR,17-JAN-00 16:00:00,EST,17-JAN-00 22:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
153,200001,19,1600,200001,21,800,1090466,5128970,MICHIGAN,2000,Winter Storm,Z,37,MASON,GRR,19-JAN-00 16:00:00,EST,21-JAN-00 08:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
156,200001,12,1200,200001,13,800,1090464,5128962,MICHIGAN,2000,Winter Storm,Z,44,NEWAYGO,GRR,12-JAN-00 12:00:00,EST,13-JAN-00 08:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
165,200001,3,1500,200001,4,700,1090462,5128945,MICHIGAN,2000,Winter Storm,Z,40,CLARE,GRR,03-JAN-00 15:00:00,EST,04-JAN-00 07:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
166,200001,3,1500,200001,4,700,1090462,5128946,MICHIGAN,2000,Winter Storm,Z,43,OCEANA,GRR,03-JAN-00 15:00:00,EST,04-JAN-00 07:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
183,200002,13,0,200002,13,1800,1090469,5129046,MICHIGAN,2000,Winter Storm,Z,39,OSCEOLA,GRR,13-FEB-00 00:00:00,EST,13-FEB-00 18:00:00,0,0,0,0,NWS STORM SURVEY,2000,2
223,200001,25,1000,200001,26,1000,1090467,5129041,MICHIGAN,2000,Winter Storm,Z,37,MASON,GRR,25-JAN-00 10:00:00,EST,26-JAN-00 10:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
224,200001,25,1000,200001,26,1000,1090467,5129042,MICHIGAN,2000,Winter Storm,Z,43,OCEANA,GRR,25-JAN-00 10:00:00,EST,26-JAN-00 10:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
232,200002,10,500,200002,10,1700,1090468,5129043,MICHIGAN,2000,Winter Storm,Z,38,LAKE,GRR,10-FEB-00 05:00:00,EST,10-FEB-00 17:00:00,0,0,0,0,NWS STORM SURVEY,2000,2
233,200002,10,500,200002,10,1700,1090468,5129044,MICHIGAN,2000,Winter Storm,Z,39,OSCEOLA,GRR,10-FEB-00 05:00:00,EST,10-FEB-00 17:00:00,0,0,0,0,NWS STORM SURVEY,2000,2
238,200002,10,500,200002,10,1700,1090468,5129045,MICHIGAN,2000,Winter Storm,Z,40,CLARE,GRR,10-FEB-00 05:00:00,EST,10-FEB-00 17:00:00,0,0,0,0,NWS STORM SURVEY,2000,2
289,200001,3,1500,200001,4,700,1090462,5128951,MICHIGAN,2000,Winter Storm,Z,51,MONTCALM,GRR,03-JAN-00 15:00:00,EST,04-JAN-00 07:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
290,200001,3,1500,200001,4,700,1090462,5128952,MICHIGAN,2000,Winter Storm,Z,52,GRATIOT,GRR,03-JAN-00 15:00:00,EST,04-JAN-00 07:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
295,200001,19,1600,200001,21,800,1090466,5129038,MICHIGAN,2000,Winter Storm,Z,56,OTTAWA,GRR,19-JAN-00 16:00:00,EST,21-JAN-00 08:00:00,0,0,0,0,NWS STORM SURVEY,2000,1
