,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,END_RANGE,Year,Month
36,199304,24,1730,199304,24,1730,10331671,MICHIGAN,1993,Hail,C,119,MONTMORENCY,24-APR-93 17:30:00,EST,24-APR-93 17:30:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,4
37,199304,24,1740,199304,24,1740,10331672,MICHIGAN,1993,Thunderstorm Wind,C,119,MONTMORENCY,24-APR-93 17:40:00,EST,24-APR-93 17:40:00,0,0,0,0,500K,0,90.0,0.0,0,2,0,1993,4
342,199304,24,1815,199304,24,1815,10328923,MICHIGAN,1993,Thunderstorm Wind,C,7,ALPENA,24-APR-93 18:15:00,EST,24-APR-93 18:15:00,0,0,0,0,5K,0,0.0,0.0,0,15,0,1993,4
343,199308,10,1531,199308,10,1531,10328924,MICHIGAN,1993,Hail,C,7,ALPENA,10-AUG-93 15:31:00,EST,10-AUG-93 15:31:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,8
344,199308,10,1533,199308,10,1533,10328925,MICHIGAN,1993,Thunderstorm Wind,C,7,ALPENA,10-AUG-93 15:33:00,EST,10-AUG-93 15:33:00,0,0,0,0,.5K,0,0.0,0.0,0,0,0,1993,8
345,199308,10,1541,199308,10,1541,10328926,MICHIGAN,1993,Thunderstorm Wind,C,7,ALPENA,10-AUG-93 15:41:00,EST,10-AUG-93 15:41:00,0,0,0,0,.5K,0,0.0,0.0,0,0,0,1993,8
346,199308,10,1600,199308,10,1600,10328927,MICHIGAN,1993,Thunderstorm Wind,C,7,ALPENA,10-AUG-93 16:00:00,EST,10-AUG-93 16:00:00,0,0,0,0,.5K,0,0.0,0.0,0,0,0,1993,8
347,199308,10,1606,199308,10,1606,10328928,MICHIGAN,1993,Hail,C,7,ALPENA,10-AUG-93 16:06:00,EST,10-AUG-93 16:06:00,0,0,0,0,0,0,0.75,0.0,0,0,0,1993,8
348,199308,27,1145,199308,27,1145,10328929,MICHIGAN,1993,Thunderstorm Wind,C,7,ALPENA,27-AUG-93 11:45:00,EST,27-AUG-93 11:45:00,0,0,0,0,50K,0,0.0,0.0,0,12,0,1993,8
349,199308,27,1201,199308,27,1201,10328930,MICHIGAN,1993,Thunderstorm Wind,C,7,ALPENA,27-AUG-93 12:01:00,EST,27-AUG-93 12:01:00,0,0,0,0,.5K,0,0.0,0.0,0,4,0,1993,8
350,199308,27,1710,199308,27,1710,10328931,MICHIGAN,1993,Thunderstorm Wind,C,7,ALPENA,27-AUG-93 17:10:00,EST,27-AUG-93 17:10:00,0,0,0,0,50K,0,0.0,0.0,0,0,0,1993,8
351,199308,3,1408,199308,3,1408,10328937,MICHIGAN,1993,Hail,C,41,DELTA,03-AUG-93 14:08:00,EST,03-AUG-93 14:08:00,0,0,0,0,0,0,1.5,0.0,0,0,0,1993,8
