,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,Year,Month
25,199706,24,2004,199706,24,2004,2069093,5618406,MICHIGAN,1997,Thunderstorm Wind,C,121,MUSKEGON,GRR,24-JUN-97 20:04:00,EST,24-JUN-97 20:04:00,0,0,0,0,2.5K,,,,,,,,,,,,,,,,MONTAGUE,,,MONTAGUE,43.42,-86.37,43.42,-86.37,"A  line of thunderstorms redeveloped as it moved inland from Lake Michigan on the evening of June 24th, as a gust front from a complex of severe thunderstorms which occurred in Wisconsin encountered the unstable air mass over Lower Michigan. The storms produced damaging wind gusts over portions of west central and central Lower Michigan.",Muskegon County Central Dispatch relayed public reports of trees and power lines down in Montague.,1997,6
26,199706,30,1520,199706,30,1520,2069094,5618407,MICHIGAN,1997,Thunderstorm Wind,C,81,KENT,GRR,30-JUN-97 15:20:00,EST,30-JUN-97 15:20:00,0,0,0,0,1K,,,,,,,,,,,,,,,,SPARTA,,,SPARTA,43.17,-85.72,43.17,-85.72,,Trees reported downed in Sparta.,1997,6
218,199706,30,1545,199706,30,1545,2069094,5618408,MICHIGAN,1997,Thunderstorm Wind,C,107,MECOSTA,GRR,30-JUN-97 15:45:00,EST,30-JUN-97 15:45:00,0,0,0,0,50K,,,,,,,,,,,,,,,,BIG RAPIDS,,,BIG RAPIDS,43.7,-85.48,43.7,-85.48,,"A wet microburst downed nearly a dozen large  trees and 5 utility poles in the city of Big Rapids. No structural damage was reported to homes or businesses, but downed trees damaged 3 vehicles. Three traffic lights were knocked from their cables and approximately 2,400 Consumers Energy customers lost power. No injuries were reported.",1997,6
791,199707,2,1515,199707,2,1515,2066048,5605737,MICHIGAN,1997,Thunderstorm Wind,C,129,OGEMAW,APX,02-JUL-97 15:15:00,EST,02-JUL-97 15:15:00,0,0,0,0,,,,61.0,,,,,,,,,,,,,PRESCOTT,,,PRESCOTT,44.18,-83.92,44.18,-83.92,,Strong thunderstorm winds heavily damaged one trailer and several homes near Prescott.,1997,7
792,199707,2,1515,199707,2,1515,2066048,5605738,MICHIGAN,1997,Tornado,C,11,ARENAC,APX,02-JUL-97 15:15:00,EST,02-JUL-97 15:15:00,1,0,0,0,,,,,,,,F1,3.0,150.0,,,,,2.0,S,AU GRES,,,AU GRES,44.02,-83.68,44.05,-83.68,,The tornado touched down several miles south of Au Gres and then tracked northward into Au Gres where it dissipated. Three homes were destroyed and several others damaged to varying degrees. This was a strong F1 tornado.,1997,7
793,199707,2,1520,199707,2,1520,2066048,5605739,MICHIGAN,1997,Hail,C,1,ALCONA,APX,02-JUL-97 15:20:00,EST,02-JUL-97 15:20:00,0,0,0,0,,,,0.75,,,,,,,,,,,,,GLENNIE,,,GLENNIE,44.57,-83.72,44.57,-83.72,,,1997,7
794,199707,2,1530,199707,2,1530,2066048,5605740,MICHIGAN,1997,Thunderstorm Wind,C,47,EMMET,APX,02-JUL-97 15:30:00,EST,02-JUL-97 15:30:00,0,0,0,0,,,,52.0,,,,,,,,,,,,,PELLSTON,,,PELLSTON,45.55,-84.77,45.55,-84.77,,,1997,7
795,199707,2,1540,199707,2,1540,2066048,5605741,MICHIGAN,1997,Hail,C,11,ARENAC,APX,02-JUL-97 15:40:00,EST,02-JUL-97 15:40:00,0,0,0,0,,,,1.0,,,,,,,,,,,3.0,N,ALGER,3.0,N,ALGER,44.17,-84.12,44.17,-84.12,,,1997,7
796,199707,2,1530,199707,2,1530,2066048,5605742,MICHIGAN,1997,Thunderstorm Wind,C,1,ALCONA,APX,02-JUL-97 15:30:00,EST,02-JUL-97 15:30:00,0,0,0,0,,,,52.0,,,,,,,,,,,1.0,S,MIKADO,1.0,S,MIKADO,44.57,-83.42,44.57,-83.42,,Strong thunderstorm winds toppled numerous trees south of Mikado.,1997,7
797,199707,2,1515,199707,2,1515,2066048,5605743,MICHIGAN,1997,Thunderstorm Wind,C,31,CHEBOYGAN,APX,02-JUL-97 15:15:00,EST,02-JUL-97 15:15:00,0,0,0,0,,,,52.0,,,,,,,,,,,,,TOWER,,,TOWER,45.35,-84.3,45.35,-84.3,,Strong thunderstorm winds toppled several trees up to 18 inches in diameter.,1997,7
