,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,Year,Month
15,199812,18,300,199812,19,1800,2151582,5674643,MICHIGAN,1998,Heavy Snow,Z,9,GOGEBIC,MQT,18-DEC-98 03:00:00,EST,19-DEC-98 18:00:00,0,0,0,0,1998,2
41,199809,20,1640,199809,20,1650,2151186,5675608,MICHIGAN,1998,Thunderstorm Wind,C,77,KALAMAZOO,GRR,20-SEP-98 16:40:00,EST,20-SEP-98 16:50:00,0,0,0,0,1998,9
42,199809,20,1735,199809,20,1735,2151186,5675609,MICHIGAN,1998,Thunderstorm Wind,C,15,BARRY,GRR,20-SEP-98 17:35:00,EST,20-SEP-98 17:35:00,0,0,0,0,1998,9
43,199809,26,315,199809,26,315,2151186,5675610,MICHIGAN,1998,Hail,C,105,MASON,GRR,26-SEP-98 03:15:00,EST,26-SEP-98 03:15:00,0,0,0,0,1998,9
149,199812,29,1900,199812,30,1900,2151763,5678066,MICHIGAN,1998,Lake-Effect Snow,Z,37,MASON,GRR,29-DEC-98 19:00:00,EST,30-DEC-98 19:00:00,0,0,0,0,1998,2
202,199811,10,1200,199811,11,500,2150942,5676077,MICHIGAN,1998,High Wind,Z,55,SANILAC,DTX,10-NOV-98 12:00:00,EST,11-NOV-98 05:00:00,0,0,0,0,1998,1
209,199809,7,35,199809,7,120,2151186,5675603,MICHIGAN,1998,Thunderstorm Wind,C,159,VAN BUREN,GRR,07-SEP-98 00:35:00,EST,07-SEP-98 01:20:00,0,0,0,0,1998,9
211,199809,20,1625,199809,20,1625,2151186,5675607,MICHIGAN,1998,Thunderstorm Wind,C,35,CLARE,GRR,20-SEP-98 16:25:00,EST,20-SEP-98 16:25:00,0,0,0,0,1998,9
224,199812,21,1700,199812,22,2100,2151470,5674766,MICHIGAN,1998,Heavy Snow,Z,27,KALKASKA,APX,21-DEC-98 17:00:00,EST,22-DEC-98 21:00:00,0,0,0,0,1998,2
225,199812,21,1700,199812,22,2100,2151470,5674767,MICHIGAN,1998,Heavy Snow,Z,20,LEELANAU,APX,21-DEC-98 17:00:00,EST,22-DEC-98 21:00:00,0,0,0,0,1998,2
