,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,SOURCE,Year,Month
223,200212,1,1800,200212,1,2000,1144697,5323894,MICHIGAN,2002,Heavy Snow,Z,20,LEELANAU,APX,01-DEC-02 18:00:00,EST,01-DEC-02 20:00:00,0,0,0,0,TRAINED SPOTTER,2002,2
229,200211,30,1800,200211,30,2000,1144681,5323664,MICHIGAN,2002,Heavy Snow,Z,33,MISSAUKEE,APX,30-NOV-02 18:00:00,EST,30-NOV-02 20:00:00,0,0,0,0,TRAINED SPOTTER,2002,1
230,200211,30,1800,200211,30,2000,1144681,5323665,MICHIGAN,2002,Heavy Snow,Z,22,OTSEGO,APX,30-NOV-02 18:00:00,EST,30-NOV-02 20:00:00,0,0,0,0,TRAINED SPOTTER,2002,1
231,200211,30,1800,200211,30,2000,1144681,5323666,MICHIGAN,2002,Heavy Snow,Z,32,WEXFORD,APX,30-NOV-02 18:00:00,EST,30-NOV-02 20:00:00,0,0,0,0,TRAINED SPOTTER,2002,1
326,200211,30,1800,200211,30,2000,1144681,5323661,MICHIGAN,2002,Heavy Snow,Z,21,ANTRIM,APX,30-NOV-02 18:00:00,EST,30-NOV-02 20:00:00,0,0,0,0,TRAINED SPOTTER,2002,1
327,200211,30,1800,200211,30,2000,1144681,5323662,MICHIGAN,2002,Heavy Snow,Z,26,GRAND TRAVERSE,APX,30-NOV-02 18:00:00,EST,30-NOV-02 20:00:00,0,0,0,0,TRAINED SPOTTER,2002,1
328,200211,30,1800,200211,30,2000,1144681,5323663,MICHIGAN,2002,Heavy Snow,Z,27,KALKASKA,APX,30-NOV-02 18:00:00,EST,30-NOV-02 20:00:00,0,0,0,0,TRAINED SPOTTER,2002,1
444,200212,18,1000,200212,18,1200,1144696,5323890,MICHIGAN,2002,Ice Storm,Z,25,BENZIE,APX,18-DEC-02 10:00:00,EST,18-DEC-02 12:00:00,0,0,0,0,TRAINED SPOTTER,2002,2
445,200212,18,945,200212,18,1200,1144696,5323891,MICHIGAN,2002,Ice Storm,Z,41,GLADWIN,APX,18-DEC-02 09:45:00,EST,18-DEC-02 12:00:00,0,0,0,0,TRAINED SPOTTER,2002,2
446,200212,1,1800,200212,1,2000,1144697,5323892,MICHIGAN,2002,Heavy Snow,Z,19,CHARLEVOIX,APX,01-DEC-02 18:00:00,EST,01-DEC-02 20:00:00,0,0,0,0,TRAINED SPOTTER,2002,2
458,200212,1,1800,200212,1,2000,1144697,5323893,MICHIGAN,2002,Heavy Snow,Z,26,GRAND TRAVERSE,APX,01-DEC-02 18:00:00,EST,01-DEC-02 20:00:00,0,0,0,0,TRAINED SPOTTER,2002,2
689,200212,2,700,200212,2,700,1145848,5327074,MICHIGAN,2002,Heavy Snow,Z,5,MARQUETTE,MQT,02-DEC-02 07:00:00,EST,02-DEC-02 07:00:00,0,0,0,0,TRAINED SPOTTER,2002,2
690,200212,18,700,200212,18,700,1145849,5327075,MICHIGAN,2002,Ice Storm,Z,12,MENOMINEE,MQT,18-DEC-02 07:00:00,EST,18-DEC-02 07:00:00,0,0,0,0,LAW ENFORCEMENT,2002,2
711,200212,18,900,200212,18,900,1145849,5327081,MICHIGAN,2002,Ice Storm,Z,4,BARAGA,MQT,18-DEC-02 09:00:00,EST,18-DEC-02 09:00:00,0,0,0,0,TRAINED SPOTTER,2002,2
712,200212,23,800,200212,23,800,1145851,5327183,MICHIGAN,2002,Heavy Snow,Z,7,LUCE,MQT,23-DEC-02 08:00:00,EST,23-DEC-02 08:00:00,0,0,0,0,TRAINED SPOTTER,2002,2
811,200212,18,900,200212,18,900,1145849,5327083,MICHIGAN,2002,Ice Storm,Z,6,ALGER,MQT,18-DEC-02 09:00:00,EST,18-DEC-02 09:00:00,0,0,0,0,"AWOS,ASOS,MESONET,ETC",2002,2
812,200212,18,900,200212,18,900,1145849,5327084,MICHIGAN,2002,Ice Storm,Z,14,SCHOOLCRAFT,MQT,18-DEC-02 09:00:00,EST,18-DEC-02 09:00:00,0,0,0,0,DEPT OF HIGHWAYS,2002,2
885,200212,18,700,200212,18,700,1145849,5327076,MICHIGAN,2002,Ice Storm,Z,13,DELTA,MQT,18-DEC-02 07:00:00,EST,18-DEC-02 07:00:00,0,0,0,0,LAW ENFORCEMENT,2002,2
886,200212,18,700,200212,18,700,1145849,5327077,MICHIGAN,2002,Ice Storm,Z,9,GOGEBIC,MQT,18-DEC-02 07:00:00,EST,18-DEC-02 07:00:00,0,0,0,0,TRAINED SPOTTER,2002,2
887,200212,18,800,200212,18,800,1145849,5327078,MICHIGAN,2002,Ice Storm,Z,2,ONTONAGON,MQT,18-DEC-02 08:00:00,EST,18-DEC-02 08:00:00,0,0,0,0,DEPT OF HIGHWAYS,2002,2
961,200210,4,1305,200210,4,1310,1143889,5320880,MICHIGAN,2002,Thunderstorm Wind,C,121,MUSKEGON,GRR,04-OCT-02 13:05:00,EST,04-OCT-02 13:10:00,0,0,0,0,LAW ENFORCEMENT,2002,0
962,200210,4,1315,200210,4,1315,1143889,5320881,MICHIGAN,2002,Thunderstorm Wind,C,139,OTTAWA,GRR,04-OCT-02 13:15:00,EST,04-OCT-02 13:15:00,0,0,0,0,TRAINED SPOTTER,2002,0
1070,200212,23,600,200212,23,600,1145851,5327180,MICHIGAN,2002,Heavy Snow,Z,3,HOUGHTON,MQT,23-DEC-02 06:00:00,EST,23-DEC-02 06:00:00,0,0,0,0,TRAINED SPOTTER,2002,2
1071,200212,23,900,200212,23,900,1145851,5327181,MICHIGAN,2002,Heavy Snow,Z,2,ONTONAGON,MQT,23-DEC-02 09:00:00,EST,23-DEC-02 09:00:00,0,0,0,0,TRAINED SPOTTER,2002,2
1072,200212,23,800,200212,23,800,1145851,5327182,MICHIGAN,2002,Heavy Snow,Z,6,ALGER,MQT,23-DEC-02 08:00:00,EST,23-DEC-02 08:00:00,0,0,0,0,TRAINED SPOTTER,2002,2
1083,200212,24,2200,200212,25,1000,1145595,5325886,MICHIGAN,2002,Winter Storm,Z,83,MONROE,DTX,24-DEC-02 22:00:00,EST,25-DEC-02 10:00:00,0,0,0,0,TRAINED SPOTTER,2002,2
