,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,SOURCE,EPISODE_NARRATIVE,Year,Month
61,201106,8,2300,201106,8,2301,53803,322391,MICHIGAN,2011,Thunderstorm Wind,C,21,BERRIEN,IWX,08-JUN-11 23:00:00,EST-5,08-JUN-11 23:01:00,0,0,0,0,Law Enforcement,Unstable conditions were in place along the edge of strong ridging across the region. Steep lapse rates and moderate shear allowed thunderstorms to develop on lake breeze boundaries.,2011,6
337,201106,9,140,201106,9,140,54137,324698,MICHIGAN,2011,Thunderstorm Wind,C,115,MONROE,DTX,09-JUN-11 01:40:00,EST-5,09-JUN-11 01:40:00,0,0,0,0,Trained Spotter,"A cold front moving through around Midnight produced numerous severe thunderstorms across southeast Michigan, with a measured wind gust of 76 mph recorded in Flint.",2011,6
398,201106,8,2335,201106,8,2336,53803,322392,MICHIGAN,2011,Thunderstorm Wind,C,27,CASS,IWX,08-JUN-11 23:35:00,EST-5,08-JUN-11 23:36:00,0,0,0,0,County Official,Unstable conditions were in place along the edge of strong ridging across the region. Steep lapse rates and moderate shear allowed thunderstorms to develop on lake breeze boundaries.,2011,6
399,201106,8,2300,201106,8,2301,53803,322393,MICHIGAN,2011,Thunderstorm Wind,C,21,BERRIEN,IWX,08-JUN-11 23:00:00,EST-5,08-JUN-11 23:01:00,0,0,0,0,Law Enforcement,Unstable conditions were in place along the edge of strong ridging across the region. Steep lapse rates and moderate shear allowed thunderstorms to develop on lake breeze boundaries.,2011,6
400,201106,15,1255,201106,15,1305,54015,323652,MICHIGAN,2011,Strong Wind,Z,80,BRANCH,IWX,15-JUN-11 12:55:00,EST-5,15-JUN-11 13:05:00,0,0,0,0,Emergency Manager,"A weakening complex of thunderstorms moved into portions of northern Indiana and southern Lower Michigan. The thunderstorms were not able to mix down the stronger winds aloft as they moved through. However, a wake low behind the complex, in the somewhat cooler air, was able to mix down winds generally in the 30 to 40 mph range. While isolated reports of tree limbs down were received, damage across portions of Branch county was a bit more widespread.",2011,6
708,201106,9,0,201106,9,0,54137,324702,MICHIGAN,2011,Thunderstorm Wind,C,17,BAY,DTX,09-JUN-11 00:00:00,EST-5,09-JUN-11 00:00:00,0,0,0,0,Broadcast Media,"A cold front moving through around Midnight produced numerous severe thunderstorms across southeast Michigan, with a measured wind gust of 76 mph recorded in Flint.",2011,6
709,201106,9,8,201106,9,8,54137,324720,MICHIGAN,2011,Thunderstorm Wind,C,157,TUSCOLA,DTX,09-JUN-11 00:08:00,EST-5,09-JUN-11 00:08:00,0,0,0,0,NWS Storm Survey,"A cold front moving through around Midnight produced numerous severe thunderstorms across southeast Michigan, with a measured wind gust of 76 mph recorded in Flint.",2011,6
710,201106,9,10,201106,9,10,54137,324724,MICHIGAN,2011,Thunderstorm Wind,C,157,TUSCOLA,DTX,09-JUN-11 00:10:00,EST-5,09-JUN-11 00:10:00,0,0,0,0,NWS Storm Survey,"A cold front moving through around Midnight produced numerous severe thunderstorms across southeast Michigan, with a measured wind gust of 76 mph recorded in Flint.",2011,6
711,201106,9,11,201106,9,11,54137,324757,MICHIGAN,2011,Thunderstorm Wind,C,63,HURON,DTX,09-JUN-11 00:11:00,EST-5,09-JUN-11 00:11:00,0,0,0,0,NWS Storm Survey,"A cold front moving through around Midnight produced numerous severe thunderstorms across southeast Michigan, with a measured wind gust of 76 mph recorded in Flint.",2011,6
712,201106,9,37,201106,9,37,54137,324759,MICHIGAN,2011,Thunderstorm Wind,C,63,HURON,DTX,09-JUN-11 00:37:00,EST-5,09-JUN-11 00:37:00,0,0,0,0,Trained Spotter,"A cold front moving through around Midnight produced numerous severe thunderstorms across southeast Michigan, with a measured wind gust of 76 mph recorded in Flint.",2011,6
988,201105,13,1659,201105,13,1659,51646,306912,MICHIGAN,2011,Hail,C,111,MIDLAND,DTX,13-MAY-11 16:59:00,EST-5,13-MAY-11 16:59:00,0,0,0,0,Trained Spotter,"A surface trough dropping south through Saginaw Bay interacted with thunderstorms coming up from the south, producing heavy rainfall around the I-69 corridor, specifically in Genessee county where flash flooding occured.",2011,5
989,201105,13,1955,201105,13,1955,51646,306913,MICHIGAN,2011,Hail,C,49,GENESEE,DTX,13-MAY-11 19:55:00,EST-5,13-MAY-11 19:55:00,0,0,0,0,Trained Spotter,"A surface trough dropping south through Saginaw Bay interacted with thunderstorms coming up from the south, producing heavy rainfall around the I-69 corridor, specifically in Genessee county where flash flooding occured.",2011,5
990,201105,13,1955,201105,13,1955,51646,306914,MICHIGAN,2011,Hail,C,155,SHIAWASSEE,DTX,13-MAY-11 19:55:00,EST-5,13-MAY-11 19:55:00,0,0,0,0,Trained Spotter,"A surface trough dropping south through Saginaw Bay interacted with thunderstorms coming up from the south, producing heavy rainfall around the I-69 corridor, specifically in Genessee county where flash flooding occured.",2011,5
991,201105,13,2014,201105,13,2014,51646,306915,MICHIGAN,2011,Hail,C,49,GENESEE,DTX,13-MAY-11 20:14:00,EST-5,13-MAY-11 20:14:00,0,0,0,0,Trained Spotter,"A surface trough dropping south through Saginaw Bay interacted with thunderstorms coming up from the south, producing heavy rainfall around the I-69 corridor, specifically in Genessee county where flash flooding occured.",2011,5
992,201105,23,1719,201105,23,1719,51656,306989,MICHIGAN,2011,Hail,C,91,LENAWEE,DTX,23-MAY-11 17:19:00,EST-5,23-MAY-11 17:19:00,0,0,0,0,Public,Numerous severe thunderstorms impacted areas south of M-59.,2011,5
993,201105,23,1855,201105,23,1855,51656,306991,MICHIGAN,2011,Hail,C,115,MONROE,DTX,23-MAY-11 18:55:00,EST-5,23-MAY-11 18:55:00,0,0,0,0,Trained Spotter,Numerous severe thunderstorms impacted areas south of M-59.,2011,5
994,201105,23,1904,201105,23,1904,51656,306992,MICHIGAN,2011,Hail,C,115,MONROE,DTX,23-MAY-11 19:04:00,EST-5,23-MAY-11 19:04:00,0,0,0,0,Public,Numerous severe thunderstorms impacted areas south of M-59.,2011,5
995,201105,23,1915,201105,23,1915,51656,306993,MICHIGAN,2011,Hail,C,163,WAYNE,DTX,23-MAY-11 19:15:00,EST-5,23-MAY-11 19:15:00,0,0,0,0,Trained Spotter,Numerous severe thunderstorms impacted areas south of M-59.,2011,5
996,201105,23,1156,201105,23,1156,51656,306994,MICHIGAN,2011,Thunderstorm Wind,C,111,MIDLAND,DTX,23-MAY-11 11:56:00,EST-5,23-MAY-11 11:56:00,0,0,0,0,Amateur Radio,Numerous severe thunderstorms impacted areas south of M-59.,2011,5
1253,201106,1,530,201106,1,535,53684,321727,MICHIGAN,2011,High Wind,Z,3,NORTHERN HOUGHTON,MQT,01-JUN-11 05:30:00,EST-5,01-JUN-11 05:35:00,0,0,0,0,Trained Spotter,Strong west winds in the wake of a cold front resulted in tree damage and power outages in portions of Houghton and Ontonagon counties.,2011,6
1254,201106,1,544,201106,1,549,53684,321729,MICHIGAN,2011,High Wind,Z,2,ONTONAGON,MQT,01-JUN-11 05:44:00,EST-5,01-JUN-11 05:49:00,0,0,0,0,Law Enforcement,Strong west winds in the wake of a cold front resulted in tree damage and power outages in portions of Houghton and Ontonagon counties.,2011,6
1371,201105,23,1440,201105,23,1440,51656,306995,MICHIGAN,2011,Thunderstorm Wind,C,161,WASHTENAW,DTX,23-MAY-11 14:40:00,EST-5,23-MAY-11 14:40:00,0,0,0,0,Trained Spotter,Numerous severe thunderstorms impacted areas south of M-59.,2011,5
1377,201105,23,1454,201105,23,1454,51656,306996,MICHIGAN,2011,Thunderstorm Wind,C,163,WAYNE,DTX,23-MAY-11 14:54:00,EST-5,23-MAY-11 14:54:00,0,0,0,0,Trained Spotter,Numerous severe thunderstorms impacted areas south of M-59.,2011,5
1378,201105,23,1456,201105,23,1456,51656,307001,MICHIGAN,2011,Thunderstorm Wind,C,163,WAYNE,DTX,23-MAY-11 14:56:00,EST-5,23-MAY-11 14:56:00,0,0,0,0,Trained Spotter,Numerous severe thunderstorms impacted areas south of M-59.,2011,5
1379,201105,23,1456,201105,23,1456,51656,307003,MICHIGAN,2011,Thunderstorm Wind,C,163,WAYNE,DTX,23-MAY-11 14:56:00,EST-5,23-MAY-11 14:56:00,0,0,0,0,Trained Spotter,Numerous severe thunderstorms impacted areas south of M-59.,2011,5
1380,201105,23,1507,201105,23,1507,51656,307004,MICHIGAN,2011,Thunderstorm Wind,C,163,WAYNE,DTX,23-MAY-11 15:07:00,EST-5,23-MAY-11 15:07:00,0,0,0,0,Broadcast Media,Numerous severe thunderstorms impacted areas south of M-59.,2011,5
