,BEGIN_YEARMONTH,Day,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,YEAR,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,Year,Month
1192,201901,28,500,201901,28,2200,134466,805638,MICHIGAN,2019,Winter Storm,Z,42,ARENAC,APX,28-JAN-19 05:00:00,EST-5,28-JAN-19 22:00:00,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,,,,,,,,,,,,,,,,,,"Strengthening low pressure moved into the southern Great Lakes, crossing southern lower Michigan during the daylight hours of the 28th. This resulted in a significant winter storm for most of northern lower Michigan. Snowfall rates of 1 to 2 inches per hour were common on the 28th. Snowfall totals were mostly in the 7 to 13 inch range, and the highest amounts of around 16 inches fell near Cadillac and Lake City. Winds increased toward the tail end of the storm, resulting in increasing blowing and drifting snow. Very cold air was in place before the storm arrived, and returned as the storm exited. Wind chills of 15 to 30 below zero were common in northern lower Michigan. Wind chills were much colder in eastern upper Michigan, including -51 at Kinross, and -42 at Sault Ste Marie and Mackinac Island.",,2019,1
1193,201901,28,200,201901,28,2200,134466,805639,MICHIGAN,2019,Winter Storm,Z,31,MANISTEE,APX,28-JAN-19 02:00:00,EST-5,28-JAN-19 22:00:00,0,0,0,0,0.00K,0.00K,COOP Observer,,,,,,,,,,,,,,,,,,,,,,"Strengthening low pressure moved into the southern Great Lakes, crossing southern lower Michigan during the daylight hours of the 28th. This resulted in a significant winter storm for most of northern lower Michigan. Snowfall rates of 1 to 2 inches per hour were common on the 28th. Snowfall totals were mostly in the 7 to 13 inch range, and the highest amounts of around 16 inches fell near Cadillac and Lake City. Winds increased toward the tail end of the storm, resulting in increasing blowing and drifting snow. Very cold air was in place before the storm arrived, and returned as the storm exited. Wind chills of 15 to 30 below zero were common in northern lower Michigan. Wind chills were much colder in eastern upper Michigan, including -51 at Kinross, and -42 at Sault Ste Marie and Mackinac Island.",,2019,1
1194,201901,28,200,201901,28,2200,134466,805640,MICHIGAN,2019,Winter Storm,Z,32,WEXFORD,APX,28-JAN-19 02:00:00,EST-5,28-JAN-19 22:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,"Strengthening low pressure moved into the southern Great Lakes, crossing southern lower Michigan during the daylight hours of the 28th. This resulted in a significant winter storm for most of northern lower Michigan. Snowfall rates of 1 to 2 inches per hour were common on the 28th. Snowfall totals were mostly in the 7 to 13 inch range, and the highest amounts of around 16 inches fell near Cadillac and Lake City. Winds increased toward the tail end of the storm, resulting in increasing blowing and drifting snow. Very cold air was in place before the storm arrived, and returned as the storm exited. Wind chills of 15 to 30 below zero were common in northern lower Michigan. Wind chills were much colder in eastern upper Michigan, including -51 at Kinross, and -42 at Sault Ste Marie and Mackinac Island.",,2019,1
1213,201901,28,500,201901,28,2200,134466,805643,MICHIGAN,2019,Winter Storm,Z,35,OGEMAW,APX,28-JAN-19 05:00:00,EST-5,28-JAN-19 22:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,"Strengthening low pressure moved into the southern Great Lakes, crossing southern lower Michigan during the daylight hours of the 28th. This resulted in a significant winter storm for most of northern lower Michigan. Snowfall rates of 1 to 2 inches per hour were common on the 28th. Snowfall totals were mostly in the 7 to 13 inch range, and the highest amounts of around 16 inches fell near Cadillac and Lake City. Winds increased toward the tail end of the storm, resulting in increasing blowing and drifting snow. Very cold air was in place before the storm arrived, and returned as the storm exited. Wind chills of 15 to 30 below zero were common in northern lower Michigan. Wind chills were much colder in eastern upper Michigan, including -51 at Kinross, and -42 at Sault Ste Marie and Mackinac Island.",,2019,1
1224,201901,28,500,201901,28,2200,134466,805644,MICHIGAN,2019,Winter Storm,Z,36,IOSCO,APX,28-JAN-19 05:00:00,EST-5,28-JAN-19 22:00:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,"Strengthening low pressure moved into the southern Great Lakes, crossing southern lower Michigan during the daylight hours of the 28th. This resulted in a significant winter storm for most of northern lower Michigan. Snowfall rates of 1 to 2 inches per hour were common on the 28th. Snowfall totals were mostly in the 7 to 13 inch range, and the highest amounts of around 16 inches fell near Cadillac and Lake City. Winds increased toward the tail end of the storm, resulting in increasing blowing and drifting snow. Very cold air was in place before the storm arrived, and returned as the storm exited. Wind chills of 15 to 30 below zero were common in northern lower Michigan. Wind chills were much colder in eastern upper Michigan, including -51 at Kinross, and -42 at Sault Ste Marie and Mackinac Island.",,2019,1
1227,201901,28,200,201901,28,2200,134466,805645,MICHIGAN,2019,Winter Storm,Z,26,GRAND TRAVERSE,APX,28-JAN-19 02:00:00,EST-5,28-JAN-19 22:00:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,"Strengthening low pressure moved into the southern Great Lakes, crossing southern lower Michigan during the daylight hours of the 28th. This resulted in a significant winter storm for most of northern lower Michigan. Snowfall rates of 1 to 2 inches per hour were common on the 28th. Snowfall totals were mostly in the 7 to 13 inch range, and the highest amounts of around 16 inches fell near Cadillac and Lake City. Winds increased toward the tail end of the storm, resulting in increasing blowing and drifting snow. Very cold air was in place before the storm arrived, and returned as the storm exited. Wind chills of 15 to 30 below zero were common in northern lower Michigan. Wind chills were much colder in eastern upper Michigan, including -51 at Kinross, and -42 at Sault Ste Marie and Mackinac Island.",,2019,1
1247,201901,28,200,201901,28,2200,134466,805641,MICHIGAN,2019,Winter Storm,Z,33,MISSAUKEE,APX,28-JAN-19 02:00:00,EST-5,28-JAN-19 22:00:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,"Strengthening low pressure moved into the southern Great Lakes, crossing southern lower Michigan during the daylight hours of the 28th. This resulted in a significant winter storm for most of northern lower Michigan. Snowfall rates of 1 to 2 inches per hour were common on the 28th. Snowfall totals were mostly in the 7 to 13 inch range, and the highest amounts of around 16 inches fell near Cadillac and Lake City. Winds increased toward the tail end of the storm, resulting in increasing blowing and drifting snow. Very cold air was in place before the storm arrived, and returned as the storm exited. Wind chills of 15 to 30 below zero were common in northern lower Michigan. Wind chills were much colder in eastern upper Michigan, including -51 at Kinross, and -42 at Sault Ste Marie and Mackinac Island.",,2019,1
1263,201901,28,200,201901,28,2200,134466,805646,MICHIGAN,2019,Winter Storm,Z,27,KALKASKA,APX,28-JAN-19 02:00:00,EST-5,28-JAN-19 22:00:00,0,0,0,0,0.00K,0.00K,Law Enforcement,,,,,,,,,,,,,,,,,,,,,,"Strengthening low pressure moved into the southern Great Lakes, crossing southern lower Michigan during the daylight hours of the 28th. This resulted in a significant winter storm for most of northern lower Michigan. Snowfall rates of 1 to 2 inches per hour were common on the 28th. Snowfall totals were mostly in the 7 to 13 inch range, and the highest amounts of around 16 inches fell near Cadillac and Lake City. Winds increased toward the tail end of the storm, resulting in increasing blowing and drifting snow. Very cold air was in place before the storm arrived, and returned as the storm exited. Wind chills of 15 to 30 below zero were common in northern lower Michigan. Wind chills were much colder in eastern upper Michigan, including -51 at Kinross, and -42 at Sault Ste Marie and Mackinac Island.",,2019,1
1270,201901,28,200,201901,28,2200,134466,805647,MICHIGAN,2019,Winter Storm,Z,28,CRAWFORD,APX,28-JAN-19 02:00:00,EST-5,28-JAN-19 22:00:00,0,0,0,0,0.00K,0.00K,Public,,,,,,,,,,,,,,,,,,,,,,"Strengthening low pressure moved into the southern Great Lakes, crossing southern lower Michigan during the daylight hours of the 28th. This resulted in a significant winter storm for most of northern lower Michigan. Snowfall rates of 1 to 2 inches per hour were common on the 28th. Snowfall totals were mostly in the 7 to 13 inch range, and the highest amounts of around 16 inches fell near Cadillac and Lake City. Winds increased toward the tail end of the storm, resulting in increasing blowing and drifting snow. Very cold air was in place before the storm arrived, and returned as the storm exited. Wind chills of 15 to 30 below zero were common in northern lower Michigan. Wind chills were much colder in eastern upper Michigan, including -51 at Kinross, and -42 at Sault Ste Marie and Mackinac Island.",,2019,1
1285,201901,28,500,201901,28,2200,134466,805637,MICHIGAN,2019,Winter Storm,Z,41,GLADWIN,APX,28-JAN-19 05:00:00,EST-5,28-JAN-19 22:00:00,0,0,0,0,0.00K,0.00K,CoCoRaHS,,,,,,,,,,,,,,,,,,,,,,"Strengthening low pressure moved into the southern Great Lakes, crossing southern lower Michigan during the daylight hours of the 28th. This resulted in a significant winter storm for most of northern lower Michigan. Snowfall rates of 1 to 2 inches per hour were common on the 28th. Snowfall totals were mostly in the 7 to 13 inch range, and the highest amounts of around 16 inches fell near Cadillac and Lake City. Winds increased toward the tail end of the storm, resulting in increasing blowing and drifting snow. Very cold air was in place before the storm arrived, and returned as the storm exited. Wind chills of 15 to 30 below zero were common in northern lower Michigan. Wind chills were much colder in eastern upper Michigan, including -51 at Kinross, and -42 at Sault Ste Marie and Mackinac Island.",,2019,1
